,Unnamed: 0,abstract
0,0,"How large are the benefits of transportation infrastructure projects, and what explains these benefits? This paper uses archival data from colonial India to investigate the impact of India's vast railroad network. Guided by four results from a general equilibrium trade model, I find that railroads: (1) decreased trade costs and interregional price gaps; (2) increased interregional and international trade; (3) increased real income levels; and (4) that a sufficient statistic for the effect of railroads on welfare in the model accounts well for the observed reduced-form impact of railroads on real income in the data."
1,1,"Macro developments leading up to the 2008 crisis displayed an unprecedented degree of international synchronization. Before the crisis, all G7 countries experienced credit growth and, around the time of the Lehman bankruptcy, they all faced sharp and large contractions in both real and financial activity. Using a two-country model with financial frictions, we show that a global liquidity shortage induced by pessimistic self-fulfilling expectations can quantitatively generate patterns like those observed in the data. The model also suggests that crises are less frequent with more international financial integration but, when they hit, they are larger and more synchronized across countries."
2,2,"This paper provides a simple, yet robust framework to evaluate the time profile of benefits paid during an unemployment spell. We derive sufficient-statistics formulae capturing the marginal insurance value and incentive costs of unemployment benefits paid at different times during a spell. Our approach allows us to revisit separate arguments for inclining or declining profiles put forward in the theoretical literature and to identify welfare-improving changes in the benefit profile that account for all relevant arguments jointly. For the empirical implementation, we use administrative data on unemployment, linked to data on consumption, income, and wealth in Sweden. First, we exploit duration-dependent kinks in the replacement rate and find that, if anything, the moral hazard cost of benefits is larger when paid earlier in the spell. Second, we find that the drop in consumption affecting the insurance value of benefits is large from the start of the spell, but further increases throughout the spell. In trading off insurance and incentives, our analysis suggests that the flat benefit profile in Sweden has been too generous overall. However, both from the insurance and the incentives side, we find no evidence to support the introduction of a declining tilt in the profile."
3,3,"We establish the importance of team-specific capital in the typical inventor's career. Using administrative tax and patent data for the population of US patent inventors from 1996 to 2012, we find that an inventor's premature death causes a large and long-lasting decline in their co-inventor's earnings and citation-weighted patents (?4 percent and ?15 percent after 8 years, respectively). After ruling out firm disruption, network effects, and top-down spillovers as main channels, we show that the effect is driven by close-knit teams and that team-specific capital largely results from an ""experience"" component increasing collaboration value over time."
4,4,"We document substantial increases in agricultural productivity, industrial output, and peasants' nutrition in Imperial Russia as a result of the abolition of serfdom in 1861. Before the emancipation, provinces where serfs constituted the majority of agricultural laborers lagged behind provinces that primarily relied on free labor. The emancipation led to a significant but partial catch up. Better incentives of peasants resulting from the cessation of ratchet effect were a likely mechanism behind a relatively fast positive effect of reform on agricultural productivity. The land reform, which instituted communal land tenure after the emancipation, diminished growth in productivity in repartition communes."
5,5,"Employment and hours are more cyclical than dictated by productivity and consumption. This intratemporal labor wedge can arise from product or labor market distortions. Based on employee wages, the literature has attributed the intratemporal wedge almost entirely to labor market distortions. Because wages may be smoothed versions of labor's true cyclical price, we instead examine the self-employed and intermediate inputs, respectively. For recent decades in the United States, we find price markup movements are at least as cyclical as wage markup movements. Thus, countercyclical price markups deserve a central place in business-cycle research, alongside sticky wages and matching frictions."
6,6,"We develop a general equilibrium model where entrepreneurs finance random investment opportunities using trade credit, bank-issued assets, or currency. They search for bank funding in over-the-counter markets where loan sizes, interest rates, and down payments are negotiated bilaterally. The theory generates pass-through from nominal interest rates to real lending rates depending on market microstructure, policy, and firm characteristics. Higher banks' bargaining power, for example, raises pass-through but weakens transmission to investment. Interest rate spreads arise from liquidity, regulatory, and intermediation premia and depend on policy described as money growth or open market operations."
7,7,"This paper studies the welfare effects of a ""partial banking union"" in which cross-country transfers for bailouts are set at the supranational level, but policymakers in member countries decide the distribution of funds. This allows the self-interested policymakers to extract rents in the bailout process. In equilibrium, such a banking union can actually lower the welfare of citizens in the country receiving transfers compared to the autarky case, as the receiving country must increase its share of the overall burden of the bailout, in order to compensate for the rent-seeking distortion. Supranational fiscal rules are ineffective at reversing this result."
8,8,"This paper studies how in utero exposure to maternal stress from family ruptures affects later mental health. We find that prenatal exposure to the death of a maternal relative increases take-up of ADHD medications during childhood and anti-anxiety and depression medications in adulthood. Further, family ruptures during pregnancy depress birth outcomes and raise the risk of perinatal complications necessitating hospitalization. Our results suggest large welfare gains from preventing fetal stress from family ruptures and possibly from economically induced stressors such as unemployment. They further suggest that greater stress exposure among the poor may partially explain the intergenerational persistence of poverty."
9,9,"The empirical methodology used by Persson and Rossin-Slater (2018) to estimate the causal effect of in utero exposure to stress contains a potentially significant flaw. They define the control group in a way that may bias their causal estimates and can lead to the finding of a significant relationship when there is none. In this note, I describe the source of the bias and suggest an alternative specification of the control group."
