Unnamed: 0,abstract,top_journal
0,"How large benefits transportation infrastructure projects , explains benefits ? This paper uses archival data colonial India investigate impact India 's vast railroad network . Guided four results general equilibrium trade model , I find railroads : ( 1 ) decreased trade costs interregional price gaps ; ( 2 ) increased interregional international trade ; ( 3 ) increased real income levels ; ( 4 ) sufficient statistic effect railroads welfare model accounts well observed reduced-form impact railroads real income data .",1
1,"Macro developments leading 2008 crisis displayed unprecedented degree international synchronization . Before crisis , G7 countries experienced credit growth , around time Lehman bankruptcy , faced sharp large contractions real financial activity . Using two-country model financial frictions , show global liquidity shortage induced pessimistic self-fulfilling expectations quantitatively generate patterns like observed data . The model also suggests crises less frequent international financial integration , hit , larger synchronized across countries .",1
2,"This paper provides simple , yet robust framework evaluate time profile benefits paid unemployment spell . We derive sufficient-statistics formulae capturing marginal insurance value incentive costs unemployment benefits paid different times spell . Our approach allows us revisit separate arguments inclining declining profiles put forward theoretical literature identify welfare-improving changes benefit profile account relevant arguments jointly . For empirical implementation , use administrative data unemployment , linked data consumption , income , wealth Sweden . First , exploit duration-dependent kinks replacement rate find , anything , moral hazard cost benefits larger paid earlier spell . Second , find drop consumption affecting insurance value benefits large start spell , increases throughout spell . In trading insurance incentives , analysis suggests flat benefit profile Sweden generous overall . However , insurance incentives side , find evidence support introduction declining tilt profile .",1
3,"We establish importance team-specific capital typical inventor 's career . Using administrative tax patent data population US patent inventors 1996 2012 , find inventor 's premature death causes large long-lasting decline co-inventor 's earnings citation-weighted patents ( ? 4 percent ? 15 percent 8 years , respectively ) . After ruling firm disruption , network effects , top-down spillovers main channels , show effect driven close-knit teams team-specific capital largely results `` experience '' component increasing collaboration value time .",1
4,"We document substantial increases agricultural productivity , industrial output , peasants ' nutrition Imperial Russia result abolition serfdom 1861 . Before emancipation , provinces serfs constituted majority agricultural laborers lagged behind provinces primarily relied free labor . The emancipation led significant partial catch . Better incentives peasants resulting cessation ratchet effect likely mechanism behind relatively fast positive effect reform agricultural productivity . The land reform , instituted communal land tenure emancipation , diminished growth productivity repartition communes .",1
5,"Employment hours cyclical dictated productivity consumption . This intratemporal labor wedge arise product labor market distortions . Based employee wages , literature attributed intratemporal wedge almost entirely labor market distortions . Because wages may smoothed versions labor 's true cyclical price , instead examine self-employed intermediate inputs , respectively . For recent decades United States , find price markup movements least cyclical wage markup movements . Thus , countercyclical price markups deserve central place business-cycle research , alongside sticky wages matching frictions .",1
6,"We develop general equilibrium model entrepreneurs finance random investment opportunities using trade credit , bank-issued assets , currency . They search bank funding over-the-counter markets loan sizes , interest rates , payments negotiated bilaterally . The theory generates pass-through nominal interest rates real lending rates depending market microstructure , policy , firm characteristics . Higher banks ' bargaining power , example , raises pass-through weakens transmission investment . Interest rate spreads arise liquidity , regulatory , intermediation premia depend policy described money growth open market operations .",1
7,"This paper studies welfare effects `` partial banking union '' cross-country transfers bailouts set supranational level , policymakers member countries decide distribution funds . This allows self-interested policymakers extract rents bailout process . In equilibrium , banking union actually lower welfare citizens country receiving transfers compared autarky case , receiving country must increase share overall burden bailout , order compensate rent-seeking distortion . Supranational fiscal rules ineffective reversing result .",1
8,"This paper studies utero exposure maternal stress family ruptures affects later mental health . We find prenatal exposure death maternal relative increases take-up ADHD medications childhood anti-anxiety depression medications adulthood . Further , family ruptures pregnancy depress birth outcomes raise risk perinatal complications necessitating hospitalization . Our results suggest large welfare gains preventing fetal stress family ruptures possibly economically induced stressors unemployment . They suggest greater stress exposure among poor may partially explain intergenerational persistence poverty .",1
9,"The empirical methodology used Persson Rossin-Slater ( 2018 ) estimate causal effect utero exposure stress contains potentially significant flaw . They define control group way may bias causal estimates lead finding significant relationship none . In note , I describe source bias suggest alternative specification control group .",1
10,"Persson Rossin-Slater ( 2018 ) find prenatal exposure family ruptures affects childhood adult mental health , well infant physical health . We compare children whose relatives die within 280 days post-conception children whose relatives die year birth . Matsumoto correctly notes defining control group using actual birth dates bias estimates . Here , redefine control group using expected birth dates . The effects mental health childhood adulthood statistically indistinguishable original paper . The infant health impacts attenuated , statistically significant main specifications .",1
11,"Over 20 percent prison jail inmates United States currently awaiting trial , little known impact pretrial detention defendants . This paper uses detention tendencies quasi-randomly assigned bail judges estimate causal effects pretrial detention subsequent defendant outcomes . Using data administrative court tax records , find pretrial detention significantly increases probability conviction , primarily increase guilty pleas . Pretrial detention net effect future crime , decreases formal sector employment receipt employment- tax-related government benefits . These results consistent ( ) pretrial detention weakening defendants ' bargaining positions plea negotiations ( ii ) criminal conviction lowering defendants ' prospects formal labor market .",1
12,"This paper studies impact mortgage interest tax deduction equilibrium house prices , rents , homeownership , welfare . We build dynamic model housing market features realistic progressive tax system owner-occupied housing services tax-exempt mortgage interest payments tax-deductible . We simulate effect tax reform housing market . Eliminating mortgage interest deduction causes house prices decline , increases homeownership , decreases mortgage debt , improves welfare . Our findings challenge widely held view repealing preferential tax treatment mortgages would depress homeownership .",1
13,Policy uncertainty reduces individual welfare individuals limited opportunities mitigate insure resulting consumption fluctuations . We field original survey measure degree perceived policy uncertainty Social Security benefits estimate impact uncertainty individual welfare . Our central estimates show average individuals willing forgo 6 percent benefits supposed get current law remove policy uncertainty associated future Social Security benefits . This translates risk premium policy uncertainty equal 10 percent expected benefits .,1
