,abstract,top_journal
0,"This reprint of a 1993 article outlines what Congress intended the Federal Deposit Insurance Corporation Improvement Act of 1991 to accomplish. A new preface discusses FDICIA's successes and failures as well as research calling for clearer policies to deal with the problem of ""too big to fail"" banks.",0
1,"In 2007, the United States began to experience its worst housing and foreclosure crisis since the Great Depression. In response, policymakers have been devising foreclosure prevention plans, most of which focus on loan modifications. ; This article begins with an overview of the different loss mitigation tools that mortgage lenders and policymakers have used in the past to combat foreclosure and then briefly summarizes the main U.S. programs of the past few years. By most analyses, the authors note, these recent programs have had poor results in terms of significantly reducing foreclosures, and borrowers who have received modifications are redefaulting at extremely high rates. ; The authors then review both the theoretical academic literature of the 1990s and early 2000s and the more recent empirical literature generated by the recent foreclosure crisis. Many of the recent studies have focused on loan modification as a loss mitigation tool. ; Given the limited success of government loan modification programs, the authors believe that policymakers will likely turn their attention to other alternatives. The authors point to signs that the focus is now shifting to programs that do not attempt to prevent foreclosures but rather try to help homeowners who have already experienced foreclosure.",0
2,"In response to the wave of residential mortgage foreclosures in the past few years, federal, state and local government intervention programs have aimed to reduce the presumed social costs of foreclosures. Before the recent crisis, there was little economic research documenting foreclosure spillover effects. ; This article takes a critical look at the recent literature that seeks to estimate the negative effects of residential mortgage foreclosures. This review suggests that foreclosed properties sell at a discount, likely because such properties are in worse condition than surrounding properties. What's more, very nearby foreclosures appear to depress the sales prices of nondistressed properties, but this effect diminishes rapidly over physical distance and time ; The author suggests that the considerable variation in foreclosure discount and spillover estimates that occurs from study to study may be related to data limitations (specific places and times) and poorly specified empirical models in some studies. He notes that studies using a repeat-sales approach seem to hold greater promise than those using hedonic regressions; the former approach is more likely to hold property and neighborhood characteristics constant and make it easier to examine multiple geographies and longer time periods.",0
3,"For developing countries, remittances are an important and expanding source of capital, equivalent to two-thirds of overall foreign direct investment and nearly 2 percent of gross domestic product. ; This article examines the relationship between remittance inflows, financial sector development, and the real exchange rate. The authors test whether financial sector development can prevent appreciation of the real exchange rate. In particular, they show that well-developed financial sectors can more effectively channel remittances into investment opportunities. ; Using panel data for 109 developing and transition countries for 1990–2003, the authors find that remittances by themselves tend to put upward pressure on the real exchange rate. But this effect is weaker in countries with deeper and more sophisticated financial markets, which seem to retain trade competitiveness.",0
4,"For the past half-century, a debate has raged over when ""peak oil"" will occur—the point at which output can no longer increase and production begins to level off or gradually decline. Determining how long the oil supply will last has become even more pressing because the world’s energy supply still relies heavily on oil, and global energy demand is expected to rise steeply over the next twenty years. ; This article seeks to bring the peak oil debate into focus. The author notes that a number of factors cloud the energy outlook: Estimates of remaining resources are typically given as a range of probabilities and are thus open to interpretation. Variations also occur in estimates of future oil production and in the ways countries report their reserve data. ; The lack of a common definitional framework also confuses the debate. The author provides definitions of frequently used terms, delineating types of reserves and conventional versus nonconventional resources. She also discusses how technological innovations, government policies, and prices influence oil production. ; Regardless of the exact timing of peak oil production, the world must address the challenge of adapting to a new model of energy supply. Perhaps the world would be better served, the author notes, if the peak oil debate could be more solution-oriented, focusing on discovering the best way to transition to a world with less conventional oil rather than locking horns about discrepancies in terminology.",0
5,A revised version of the D6 Factor model of the southeastern economy is better than the original at describing contemporary economic activity and allows for historical comparisons across several business cycles.,0
6,This paper presents a simple methodology for decomposing changes in the aggregate labor force participation rate (LFPR) into demographic group changes in both participation behavior and population shares. Changes in population shares dominated behavioral changes in the historical evolution of the aggregate LFPR,0
7,"Exploring the potential effects of removing the legal barriers between banks and commercial firms, this article surveys economic theory as well as experience in other developed countries and in U.S. nonbank conglomerates.",0
8,"Using hypothetical portfolios created from historical data on industry profitability, the authors demonstrate that some combinations of banks with other industries could produce higher returns on equity with less risk.",0
9,"This article summarizes a 2007 conference that explored the nature and implications of major transformations in Latin American financial markets, such as the shift from cross-border to domestic financing and the development of domestic bond markets.",0
