,abstract,top_journal
0,"We conducted six treatments of a standard moral hazard experiment with hidden action. All treatments had identical Nash equilibria. However, the behavior in all treatments and periods was inconsistent with established agency theory (Nash equilibrium). In the early periods of the experiment, behavior differed significantly between treatments. This difference largely vanished in the final periods. We used logit equilibrium (LE) as a device to grasp boundedly rational behavior and found the following: (1) LE predictions are much closer to subjects’ behavior in the laboratory; (2) LE probabilities of choosing between strategies and experimental behavior show remarkably similar patterns; and (3) profit?maximizing contract offers according to the LE are close to those derived from regressions.(This abstract was borrowed from another version of this item.)",0
1,"This paper analyzes blindfolded versus informed ultimatum bargaining where proposer and responder are both either uninformed or informed about the size of the pie. Analyzing the transition from one information setting to the other suggests that more information induces lower (higher) price offers and acceptance thresholds when the pie is small (large). While our experimental data confirm this transition effect, risk aversion leads to diverging results in blindfolded ultimatum bargaining due to task-independent strategies such as 'equal sharing' or the 'golden mean.' The probability of successful bargaining is lower in case of blindfolded than informed ultimatum bargaining.(This abstract was borrowed from another version of this item.)",0
2,"We analyze the drivers of the size of the audience and number of questions asked in parallel sessions at the annual conference of the German Economics Association. We find that the location of the presentation is at least as important for the number of academics attending a talk as the combined effect of the person presenting and the paper presented. Being a presenter in a late morning session on the second day of a conference, close to the place where coffee is served, significantly increases the size of the audience. When it comes to asking questions, location becomes less important, but smaller rooms lead to more questions being asked (by women). Younger researchers as well as very senior researchers attract more questions and comments. There are also interesting gender effects. Women attend research sessions more diligently than men, but seem to ask fewer questions than men. Men are less likely to attend presentations on health, education, welfare, and development economics than women. Our findings suggest that strategic scheduling of sessions could ensure better participation at conferences. Moreover, different behaviors of men and women at conferences might also contribute to the lack of women in senior scientist positions.(This abstract was borrowed from another version of this item.)",0
3,"Japan has been in a benign liquidity trap since 1990. In a benign liquidity trap, interest rates approach zero, prices decline, and monetary policy is ineffective but output and employment perform decently. Such a pattern contradicts traditional macro theories. This paper introduces a monetary general equilibrium model that is compatible with Japan´s performance and resolves puzzles associated with liquidity traps. Possible conclusions for Anglo-Saxon countries and eurozone members are also discussed.(This abstract was borrowed from another version of this item.)",0
4,"This paper addresses tax loopholes that allow firms to exploit borderline cases between legal tax avoidance and illegal tax evasion. In general, tax loopholes are detrimental for a revenue-maximizing government. This may change in the presence of corruption in the tax administration. Tax loopholes may serve as a separating mechanism that helps governments maximize revenues and curb corruption, which may explain why developing countries only gradually close loopholes in their tax codes.(This abstract was borrowed from another version of this item.)",0
5,"Single parents and unmarried couples are increasingly replacing the traditional nuclear family. This paper investigates if the greater variety in living arrangements contributes to increased resource disparities among children in Germany. Children in single parent families are disadvantaged in at least three dimensions decisive for their later achievements: material standard of living, parental education, and parental childcare time. We compute multidimensional inequality and poverty indices using SOEP data from 1991-2012. We distinguish between parental and publicly provided childcare, which is an increasingly important in-kind benefit in Germany. We find that both multidimensional inequality and poverty declined as expanded public childcare strongly reduces resource disparities among children.(This abstract was borrowed from another version of this item.)",0
6,"Most countries show a residency discount in rents for sitting tenants. In the wake of strong rent increases and housing shortages, Germany implemented a reform in 2001 to curtail rent increases. Based on linked housing-tenant data for Germany, this paper estimates panel OLS and quantile regressions of rents within tenancies. The results show that rents deflated by the CPI increase strongly from 1984 until the reform in 2001, and there is a reversal in the trend afterwards. Before the reform, there is a significant residence discount which decreases in absolute value with tenure. The reform reduces rents, in particular for expensive apartments and for new leases. There is no residency discount after the reform.(This abstract was borrowed from another version of this item.)",0
7,"This study estimates the earning losses of workers experiencing an involuntary job separation. We employ, for the first time in the earning losses literature, a Poisson pseudo-maximum-likelihood estimator with fixed effects that has several advantages with respect to conventional fixed effects models. The Poisson estimator allows considering the full set of involuntary separations, including those with zero labor market earnings because of unemployment. By including individuals with zero earnings and by using our new method, the loss in the year of separation becomes larger than in previous studies. The loss starts with roughly 30 percent and, although it quickly shrinks, it remains at around 15 percent in the following years. In addition, we find that compared to other reasons for separation, the earning loss pattern is unique for involuntary separations, because no other type of separation implies such permanent scarring. This latter finding makes us confident that the self-reported involuntariness of a separation is a reliable source of information.(This abstract was borrowed from another version of this item.)",0
8,"As long as it is employed cautiously enough, the model approach is a useful tool to estimate simultaneously the size and the development of the shadow economy in several countries. However, a second method is necessary to calibrate the model. The currency demand approach can lead to highly implausible results; the size of the shadow economy might be largely overestimated. An alternative is the survey method. For real tests of whether a variable has an impact, procedures are necessary that do not use the same variables as those used to construct the indicator. Thus, to make progress in analysing the shadow economy, the model approach has a role to play, but it has to be complemented by other methods employing different data. The currency demand approach cannot be used as long as it employs the same variables for its constructions.(This abstract was borrowed from another version of this item.)",0
9,"Considerable experimental evidence has been collected on rules enhancing contributions in public goods dilemmas. These studies either confront subjects with pre-specified rules or have subjects choose between different rule environments. In this paper, we completely endogenize the institution design process by asking subjects to design and repeatedly improve rule sets for a public goods problem in order to investigate which rules social planners facing a social dilemma â€œinventâ€ and how these rules develop over time. We make several noteworthy observations, in particular the strong and successful use of framing, the concealment of individual contribution information and the decreasing use of punishment.(This abstract was borrowed from another version of this item.)",0
10,"We study how subjects in an experiment use different forms of public information about their opponents' past behavior. In the absence of public information, subjects appear to use rather detailed statistics summarizing their private experiences. If they have additional public information, they make use of this information even if it is less precise than their own private statistics – except for very high stakes. Making public information more precise has two consequences: It is also used when the stakes are very high and it reduces the number of subjects who ignore any information – public and private. That is, precise public information crowds in the use of own information. Finally, our results shed some light on unraveling in centipede games.(This abstract was borrowed from another version of this item.)",0
11,"In this paper we study optimal choices of self-selection into politics and commitment once in office on the part of citizens with heterogeneous abilities and heterogeneous motivations. Politicians can moonlight, i.e., they can work in the market sector while appointed in parliament. Our theoretical framework shows that high-ability citizens may enter politics. Yet while high-ability non-motivated (market-fit) politicians are likely to shirk, high-ability motivated (public-fit) ones are more committed to parliamentary activity. We test our predictions by using a unique database of Italian parliamentarians for the period 1996-2006. We find evidence of advantageous selection of the market-fit and the public-fit politicians in that they both display a pre-election income greater than that of the Italian population. We also show that the commitment of the market-fit parliamentarians in terms of voting attendance is negatively affected by income opportunities, whilst this is not the case for the public-fit ones.(This abstract was borrowed from another version of this item.)",0
