Unnamed: 0,abstract,top_journal
0,This reprint 1993 article outlines Congress intended Federal Deposit Insurance Corporation Improvement Act 1991 accomplish . A new preface discusses FDICIA 's successes failures well research calling clearer policies deal problem `` big fail '' banks .,0
1,"In 2007 , United States began experience worst housing foreclosure crisis since Great Depression . In response , policymakers devising foreclosure prevention plans , focus loan modifications . ; This article begins overview different loss mitigation tools mortgage lenders policymakers used past combat foreclosure briefly summarizes main U.S. programs past years . By analyses , authors note , recent programs poor results terms significantly reducing foreclosures , borrowers received modifications redefaulting extremely high rates . ; The authors review theoretical academic literature 1990s early 2000s recent empirical literature generated recent foreclosure crisis . Many recent studies focused loan modification loss mitigation tool . ; Given limited success government loan modification programs , authors believe policymakers likely turn attention alternatives . The authors point signs focus shifting programs attempt prevent foreclosures rather try help homeowners already experienced foreclosure .",0
2,"In response wave residential mortgage foreclosures past years , federal , state local government intervention programs aimed reduce presumed social costs foreclosures . Before recent crisis , little economic research documenting foreclosure spillover effects . ; This article takes critical look recent literature seeks estimate negative effects residential mortgage foreclosures . This review suggests foreclosed properties sell discount , likely properties worse condition surrounding properties . What 's , nearby foreclosures appear depress sales prices nondistressed properties , effect diminishes rapidly physical distance time ; The author suggests considerable variation foreclosure discount spillover estimates occurs study study may related data limitations ( specific places times ) poorly specified empirical models studies . He notes studies using repeat-sales approach seem hold greater promise using hedonic regressions ; former approach likely hold property neighborhood characteristics constant make easier examine multiple geographies longer time periods .",0
3,"For developing countries , remittances important expanding source capital , equivalent two-thirds overall foreign direct investment nearly 2 percent gross domestic product . ; This article examines relationship remittance inflows , financial sector development , real exchange rate . The authors test whether financial sector development prevent appreciation real exchange rate . In particular , show well-developed financial sectors effectively channel remittances investment opportunities . ; Using panel data 109 developing transition countries 1990?2003 , authors find remittances tend put upward pressure real exchange rate . But effect weaker countries deeper sophisticated financial markets , seem retain trade competitiveness .",0
4,"For past half-century , debate raged `` peak oil '' occur?the point output longer increase production begins level gradually decline . Determining long oil supply last become even pressing world?s energy supply still relies heavily oil , global energy demand expected rise steeply next twenty years . ; This article seeks bring peak oil debate focus . The author notes number factors cloud energy outlook : Estimates remaining resources typically given range probabilities thus open interpretation . Variations also occur estimates future oil production ways countries report reserve data . ; The lack common definitional framework also confuses debate . The author provides definitions frequently used terms , delineating types reserves conventional versus nonconventional resources . She also discusses technological innovations , government policies , prices influence oil production . ; Regardless exact timing peak oil production , world must address challenge adapting new model energy supply . Perhaps world would better served , author notes , peak oil debate could solution-oriented , focusing discovering best way transition world less conventional oil rather locking horns discrepancies terminology .",0
5,A revised version D6 Factor model southeastern economy better original describing contemporary economic activity allows historical comparisons across several business cycles .,0
6,This paper presents simple methodology decomposing changes aggregate labor force participation rate ( LFPR ) demographic group changes participation behavior population shares . Changes population shares dominated behavioral changes historical evolution aggregate LFPR,0
7,"Exploring potential effects removing legal barriers banks commercial firms , article surveys economic theory well experience developed countries U.S. nonbank conglomerates .",0
8,"Using hypothetical portfolios created historical data industry profitability , authors demonstrate combinations banks industries could produce higher returns equity less risk .",0
9,"This article summarizes 2007 conference explored nature implications major transformations Latin American financial markets , shift cross-border domestic financing development domestic bond markets .",0
10,"Though checks ' popularity waning favor electronic payments , checks , much twentieth century , widely used noncash payment method United States . How relatively inefficient form payment become dominant ? This article traces historical evolution check , focusing relation complementary competing payment technologies . ; Originating eastern Mediterranean first millennium convenient form payment local merchants , checks became versatile development negotiability sixteenth-century Europe . The suppression banknotes eighteenth-century England promoted use checks . In United States , nineteenth-century legislation discouraged payment methods eventually led nationwide check payment system . In twentieth century , Federal Reserve 's leadership , checks expanded rapidly became nation 's default payment method . ; The authors discuss persistent historical themes surrounding checks : checks ' ease use , provides advantages payment methods creates risk businesses banks ; checks ' sophistication , evolved centuries legal precedent operational experimentation ; checks ' high costs relative forms payment . ; Checks ' traditional dominance U.S. payment system , authors conclude , resulted historical happenstances . These events gave check relative advantages overcome electronic payment technologies .",0
11,"This interview , conducted shortly Atlanta Fed 's 2007 Financial Markets Conference , discusses credit derivatives importance market outlines key themes conference .",0
12,"Arising financial institutions ' need hedge diversify credit risk , credit derivatives become major investment tool . Almost credit derivatives take form credit default swap , transfers default risk one party another . Most credit default swaps written single names , since 2004 major impetus growth market liquidity credit default swaps indexes . ; This paper examines mechanics , risks , market credit default swaps , provides overview pricing dealers ' risk-management role , discusses costs benefits credit derivatives , outlines recent policy issues . ; The author notes , early years credit derivatives , major challenges facing instruments involved resolving ambiguities reference entities defining credit events . Since introduction index trading widespread entry hedge funds , however , challenges settlement credit events addressing operational backlogs stemming increase novations . Now hedge funds established part market , next important issue likely whether credit derivatives activity move exchanges .",0
13,"The striking growth credit derivatives suggests market participants find useful tools risk management . This paper illustrates credit derivatives ' value three examples : commercial bank using credit derivatives manage loan portfolio risk ; investment bank using manage risks underwriting securities ; investor , insurance company , asset manager , hedge fund , using align credit risk exposure desired credit risk profile . ; But credit derivatives pose risk-management challenges ; author discusses five challenges . Credit derivatives transform credit risk intricate ways may easy understand . They create counterparty credit risk must managed . Complex credit derivatives rely complex models , leading model risk . Credit rating agencies interpret complexity investors , ratings misunderstood , creating rating agency risk . And settlement credit derivative contract following default complications , creating settlement risk . For credit derivatives market continue rapid growth , market participants must find ways meet risk-management challenges .",0
14,"This paper explores bigger-picture risks associated credit derivatives . Drawing distinction market 's perception credit `` real credit '' reflected formal definition credit event , author examines well-documented macro drivers credit generally . ; The author next enumerates frequently cited concerns credit derivatives : exceedingly large notional trade credit default swaps relative outstanding debt , increasing involvement hedge funds products , operational concerns surfaced past year two . ; The paper considers possibilities associated systemic risk , looking issues modeling proper hedging , risk management , valuation new sometimes complex credit derivative instruments . ; Despite inherent risks involved credit derivatives , market instruments continues grow rapidly people find practical beneficial hedging risk , generating income , distributing credit risk among broader institutional base . Evolving market practices safeguards help establish efficient , transparent marketplace . Whether credit risk best allocated outside traditional financial intermediaries remains open question .",0
15,"This article assesses extent changes public policy regarding depository institutions aligned recommendations made twenty years ago Perspectives Safe Sound Banking ( Benston et al . 1986 ) . Several legislative initiatives bank regulatory supervisory changes past two decades keeping Benston coauthors ' recommendations analyses . But recommendations book followed , proposals book rejected enacted legislation regulation . ; The article focuses turn Benston et al . 's principal recommendations discusses analyzes subsequent related legislative , regulatory , supervisory developments .",0
16,"The author illustrates extent ensuing regulatory changes conform prescriptions Perspectives Safe Sound Banking . He probes whether relatively untested regulatory strictures , prompt corrective action , prevail banking heavily stressed . He discusses `` home-run regulation '' extends reach individual states ' bank charters nationwide whether Fed eventually regulate financial institutions marketwide .",0
17,"This commentary reviews three major innovations suggested Benston et al . ( 1986 ) : movement toward greater risk-sensitive approaches , enhanced role market discipline disclosure , earlier intervention troubled banks . The author discusses environmental changes may anticipated two decades ago implications bank supervision regulation .",0
18,"Although banking system appears safer sounder today two decades ago , new risk challenges arisen could anticipated 1980s . This article outlines fundamental structural changes U.S. commercial banking industry since . ; The author 's strategic analysis current state industry compares `` transactions banking '' business model practiced large financial companies traditional relationship-based banking business model . In particular , author focuses different production technologies , product mixes , strategic behaviors , risk-return trade-offs characterize two opposite approaches . In closing , article discusses new developments may mean industry 's ongoing safety soundness .",0
19,"The author discusses three areas considers important evolution financial services industry : consolidation economies gained , governance issues emerge structure banking industry changes , decline market share banking . This decline market share , believes , may reflect decline demand deposits rather decline demand relationship lending .",0
20,"Comparing contrasting U.S. banking financial system 1986 2006 , author notes notable difference current system 's resilience health spite significant shocks . One reason health , believes , changing bank supervisory environment , particularly move toward stronger capital standards risk-focused supervision . Among positive developments highlights increase market discipline improvements risk measurement management .",0
21,"This article identifies underresearched and/or underappreciated issues affect bank safety soundness financial system stability . The author begins discussing goals safety soundness supervision focuses seven imperfectly understood , often intertwined , issues : credit rating agencies ; combination banking commerce ; nationwide depositor preference distribution liability-holders ' risk exposures ; systemic risk ; capital adequacy ; market discipline ; credible resolution procedures failure large financial firms . Many open issues similar Benston et al . discussed 1986 , deserve serious scholarly attention , author notes .",0
22,"To improve bank safety soundness years ahead , author makes two recommendations : banks examined rated specifically organizational complexity systemically important banks big resolve quickly recapitalized according model known advance competitors general public .",0
