Unnamed: 0,abstract,top_journal
0,"We conducted six treatments standard moral hazard experiment hidden action . All treatments identical Nash equilibria . However , behavior treatments periods inconsistent established agency theory ( Nash equilibrium ) . In early periods experiment , behavior differed significantly treatments . This difference largely vanished final periods . We used logit equilibrium ( LE ) device grasp boundedly rational behavior found following : ( 1 ) LE predictions much closer subjects? behavior laboratory ; ( 2 ) LE probabilities choosing strategies experimental behavior show remarkably similar patterns ; ( 3 ) profit ? maximizing contract offers according LE close derived regressions . ( This abstract borrowed another version item . )",0
1,"This paper analyzes blindfolded versus informed ultimatum bargaining proposer responder either uninformed informed size pie . Analyzing transition one information setting suggests information induces lower ( higher ) price offers acceptance thresholds pie small ( large ) . While experimental data confirm transition effect , risk aversion leads diverging results blindfolded ultimatum bargaining due task-independent strategies 'equal sharing ' 'golden mean . ' The probability successful bargaining lower case blindfolded informed ultimatum bargaining . ( This abstract borrowed another version item . )",0
2,"We analyze drivers size audience number questions asked parallel sessions annual conference German Economics Association . We find location presentation least important number academics attending talk combined effect person presenting paper presented . Being presenter late morning session second day conference , close place coffee served , significantly increases size audience . When comes asking questions , location becomes less important , smaller rooms lead questions asked ( women ) . Younger researchers well senior researchers attract questions comments . There also interesting gender effects . Women attend research sessions diligently men , seem ask fewer questions men . Men less likely attend presentations health , education , welfare , development economics women . Our findings suggest strategic scheduling sessions could ensure better participation conferences . Moreover , different behaviors men women conferences might also contribute lack women senior scientist positions . ( This abstract borrowed another version item . )",0
3,"Japan benign liquidity trap since 1990 . In benign liquidity trap , interest rates approach zero , prices decline , monetary policy ineffective output employment perform decently . Such pattern contradicts traditional macro theories . This paper introduces monetary general equilibrium model compatible Japan´s performance resolves puzzles associated liquidity traps . Possible conclusions Anglo-Saxon countries eurozone members also discussed . ( This abstract borrowed another version item . )",0
4,"This paper addresses tax loopholes allow firms exploit borderline cases legal tax avoidance illegal tax evasion . In general , tax loopholes detrimental revenue-maximizing government . This may change presence corruption tax administration . Tax loopholes may serve separating mechanism helps governments maximize revenues curb corruption , may explain developing countries gradually close loopholes tax codes . ( This abstract borrowed another version item . )",0
5,"Single parents unmarried couples increasingly replacing traditional nuclear family . This paper investigates greater variety living arrangements contributes increased resource disparities among children Germany . Children single parent families disadvantaged least three dimensions decisive later achievements : material standard living , parental education , parental childcare time . We compute multidimensional inequality poverty indices using SOEP data 1991-2012 . We distinguish parental publicly provided childcare , increasingly important in-kind benefit Germany . We find multidimensional inequality poverty declined expanded public childcare strongly reduces resource disparities among children . ( This abstract borrowed another version item . )",0
6,"Most countries show residency discount rents sitting tenants . In wake strong rent increases housing shortages , Germany implemented reform 2001 curtail rent increases . Based linked housing-tenant data Germany , paper estimates panel OLS quantile regressions rents within tenancies . The results show rents deflated CPI increase strongly 1984 reform 2001 , reversal trend afterwards . Before reform , significant residence discount decreases absolute value tenure . The reform reduces rents , particular expensive apartments new leases . There residency discount reform . ( This abstract borrowed another version item . )",0
7,"This study estimates earning losses workers experiencing involuntary job separation . We employ , first time earning losses literature , Poisson pseudo-maximum-likelihood estimator fixed effects several advantages respect conventional fixed effects models . The Poisson estimator allows considering full set involuntary separations , including zero labor market earnings unemployment . By including individuals zero earnings using new method , loss year separation becomes larger previous studies . The loss starts roughly 30 percent , although quickly shrinks , remains around 15 percent following years . In addition , find compared reasons separation , earning loss pattern unique involuntary separations , type separation implies permanent scarring . This latter finding makes us confident self-reported involuntariness separation reliable source information . ( This abstract borrowed another version item . )",0
8,"As long employed cautiously enough , model approach useful tool estimate simultaneously size development shadow economy several countries . However , second method necessary calibrate model . The currency demand approach lead highly implausible results ; size shadow economy might largely overestimated . An alternative survey method . For real tests whether variable impact , procedures necessary use variables used construct indicator . Thus , make progress analysing shadow economy , model approach role play , complemented methods employing different data . The currency demand approach used long employs variables constructions . ( This abstract borrowed another version item . )",0
9,"Considerable experimental evidence collected rules enhancing contributions public goods dilemmas . These studies either confront subjects pre-specified rules subjects choose different rule environments . In paper , completely endogenize institution design process asking subjects design repeatedly improve rule sets public goods problem order investigate rules social planners facing social dilemma â??inventâ? rules develop time . We make several noteworthy observations , particular strong successful use framing , concealment individual contribution information decreasing use punishment . ( This abstract borrowed another version item . )",0
