Unnamed: 0,abstract,top_journal
0,"We propose local measure relationship parameter estimates moments data depend . Our measure computed negligible cost even complex structural models . We argue reporting measure increase transparency structural estimates , making easier readers predict way violations identifying assumptions would affect results . When key assumptions orthogonality error terms excluded instruments , show measure provides natural extension omitted variables bias formula nonlinear models . We illustrate applications published articles several fields economics .",1
1,"The labor market increasingly rewards social skills . Between 1980 2012 , jobs requiring high levels social interaction grew nearly 12 percentage points share U.S. labor force . Math-intensive less social jobs?including many STEM occupations?shrank 3.3 percentage points period . Employment wage growth particularly strong jobs requiring high levels math skill social skills . To understand patterns , I develop model team production workers ?trade tasks? exploit comparative advantage . In model , social skills reduce coordination costs , allowing workers specialize work together efficiently . The model generates predictions sorting relative returns skill across occupations , I investigate using data NLSY79 NLSY97 . Using comparable set skill measures covariates across survey waves , I find labor market return social skills much greater 2000s mid-1980s 1990s .",1
2,"We develop theory endogenous uncertainty business cycles short-lived shocks generate long-lasting recessions . In model , higher uncertainty fundamentals discourages investment . Since agents learn actions others , information flows slowly times low activity uncertainty remains high , discouraging investment . The economy displays uncertainty traps : self-reinforcing episodes high uncertainty low activity . Although economy recovers quickly small shocks , large temporary shocks may long-lasting effects level activity . The economy subject information externality uncertainty traps may remain efficient allocation . Embedding mechanism standard business cycle framework , find endogenous uncertainty increases persistence large recessions improves performance model accounting Great Recession .",1
3,"What shapes optimal degree progressivity tax transfer system ? On one hand , progressive tax system counteract inequality initial conditions substitute imperfect private insurance idiosyncratic earnings risk . On hand , progressivity reduces incentives work invest skills , distortions especially costly government must finance public goods . We develop tractable equilibrium model features trade-offs . The analytical expressions derive social welfare deliver transparent understanding preference , technology , market structure parameters influence optimal degree progressivity . A calibration U.S. economy indicates endogenous skill investment , flexible labor supply , desire finance government purchases play quantitatively similar roles limiting optimal progressivity . In version model poverty constrains skill investment , optimal progressivity close U.S. value . An empirical analysis cross-country data offers support theory .",1
4,"An increase household debt GDP ratio predicts lower GDP growth higher unemployment medium run unbalanced panel 30 countries 1960 2012 . Low mortgage spreads associated increase household debt GDP ratio decline subsequent GDP growth , highlighting importance credit supply shocks . Economic forecasters systematically over-predict GDP growth end household debt booms , suggesting important role flawed expectations formation . The negative relation change household debt GDP subsequent output growth stronger countries less flexible exchange rate regimes . We also uncover global household debt cycle partly predicts severity global growth slowdown 2007 . Countries household debt cycle correlated global household debt cycle experience sharper decline growth increase domestic household debt .",1
5,"We present new channel transmission monetary policy , deposits channel . We show Fed funds rate rises , banks widen spreads charge deposits , deposits flow banking system . We present model due market power deposit markets . Consistent market power mechanism , deposit spreads increase deposits flow concentrated markets . This true even control lending opportunities comparing different branches bank . Since deposits main source liquid assets households , deposits channel explain observed strong relationship liquidity premium Fed funds rate . Since deposits also uniquely stable funding source banks , deposits channel impacts bank lending . When Fed funds rate rises , banks raise deposits concentrated markets contract lending banks . Our estimates imply deposits channel account entire transmission monetary policy bank balance sheets .",1
6,"Can democracy attract competent leaders , attaining broad representation ? Economic models suggest free-riding incentives lower opportunity costs give less competent comparative advantage entering political life . Moreover , elites human capital , selecting competence may lead uneven representation . This article examines patterns political selection among universe municipal politicians national legislators Sweden , using extraordinarily rich data competence traits social background entire population . We document four new facts together characterize ?inclusive meritocracy.? First , politicians average significantly smarter better leaders population represent . Second , positive selection present even conditioning family ( hence social ) background , suggesting individual competence key selection . Third , representation social background , whether measured parental earnings occupational social class , remarkably even . Fourth , best weak trade-off selection competence social representation , mainly due strong positive selection politicians low ( parental ) socioeconomic status . A broad implication facts possible democracy generate competent socially representative leadership .",1
7,"Starting early 1990s , countries southern Europe experienced low productivity growth alongside declining real interest rates . We use data manufacturing firms Spain 1999 2012 document significant increase dispersion return capital across firms , stable dispersion return labor , significant increase productivity losses capital misallocation time . We develop model size-dependent financial frictions consistent important aspects firms? behavior production balance sheet data . We illustrate decline real interest rate , often attributed euro convergence process , leads significant decline sectoral total factor productivity capital inflows misallocated toward firms higher net worth necessarily productive . We show similar trends dispersion productivity losses observed Italy Portugal Germany , France , Norway .",1
8,"We propose model job search reference-dependent preferences , loss aversion relative recent income ( reference point ) . In model , newly unemployed individuals search hard since consumption reference point . Over time , though , get used lower income thus reduce search effort . In anticipation benefit cut , search effort rises , declines get accustomed lower postcut benefit level . The model fits typical pattern exit unemployment , even unobserved heterogeneity . To distinguish models , use unique reform unemployment insurance ( UI ) benefit path . In 2005 , Hungary switched single-step UI system two-step system , overall generosity unchanged . The system generated increased hazard rates anticipation , especially following , benefit cuts ways standard model hard time explaining . We estimate model optimal consumption , endogenous search effort , unobserved heterogeneity . The reference-dependent model fits hazard rates substantially better plausible versions standard model , including habit formation . Our estimates indicate slow-adjusting reference point substantial impatience , likely reflecting present-bias .",1
9,"We present evidence significant fraction commuters London Underground travel optimal route . We show strike Underground , forced many commuters experiment new routes , brought lasting changes behavior . This effect stronger commuters live areas Underground map distorted , points importance informational imperfections . Information resulting strike improved network efficiency . Search costs alone unlikely explain suboptimal behavior .",1
10,"To reduce poverty food insecurity Africa requires raising productivity agriculture . Systematic use fertilizer hybrid seed pathway increased productivity , adoption technologies remains low . We investigate whether quality agricultural inputs help explain low take-up . Testing modern products purchased local markets , find 30 % nutrient missing fertilizer , hybrid maize seed estimated contain less 50 % authentic seeds . We document low quality results low average returns . If authentic technologies replaced low-quality products , however , average returns high . To rationalize findings , calibrate learning model using data agricultural trials . Because agricultural yields noisy , farmers? ability learn quality limited help explain low quality equilibrium observe , also market fully collapsed .",1
11,"This article studies technology adoption cluster soccer-ball producers Sialkot , Pakistan . We invented new cutting technology reduces waste primary raw material gave technology random subset producers . Despite clear net benefits nearly firms , 15 months take-up remained puzzlingly low . We hypothesize important reason lack adoption misalignment incentives within firms : key employees ( cutters printers ) typically paid piece rates , incentive reduce waste , new technology slows , least initially . Fearing reductions effective wage , employees resist adoption various ways , including misinforming owners value technology . To investigate hypothesis , implemented second experiment among firms originally received technology : offered one cutter one printer per firm lump-sum payment , approximately month?s earnings , conditional demonstrating competence using technology presence owner . This incentive payment , small point view firm , significant positive effect adoption . The results suggest misalignment incentives within firms important barrier technology adoption setting .",1
12,"The nature relationship employers employees changing past three decades , firms increasingly relying contractors , temp agencies , franchises rather hiring employees directly . We investigate impact transformation wage structure following jobs moved outside boundary lead employers contracting firms . We develop new method identifying outsourcing food , cleaning , security , logistics services administrative data using universe social security records Germany . We document dramatic growth domestic outsourcing Germany since early 1990s . Event-study analyses show wages outsourced jobs fall approximately 10?15 % relative similar jobs outsourced . We find evidence wage losses associated outsourcing stem loss firm-specific rents , suggesting labor cost savings important reason firms choose contract services . Finally , tie increase outsourcing activity broader changes German wage structure , particular showing outsourcing cleaning , security , logistics services alone accounts around 9 % increase German wage inequality since 1980s .",1
13,"Examining performance cashiers French grocery store chain , find manager bias negatively affects minority job performance . In stores studied , cashiers work different managers different days schedules determined quasi-randomly . When minority cashiers , majority cashiers , scheduled work managers biased ( determined implicit association test ) , absent often , spend less time work , scan items slowly , take time customers . This appears biased managers interact less minorities , leading minorities exert less effort . Manager bias consequences average performance minority workers : average minority majority workers perform equivalently , days managers unbiased , minorities perform significantly better majority workers . The findings consistent statistical discrimination hiring whereby minorities underperform assigned biased managers , firm sets higher hiring standard minorities get similar average performance minority nonminority workers .",1
14,"Measuring consumer responsiveness medical care prices central issue health economics key ingredient optimal design regulation health insurance markets . We leverage natural experiment large self-insured firm required employees switch insurance plan provided free health care nonlinear , high-deductible plan . The switch caused spending reduction 11.8 % 13.8 % total firm-wide health spending . We decompose spending reduction components ( ) consumer price shopping , ( ii ) quantity reductions , ( iii ) quantity substitutions find spending reductions entirely due outright reductions quantity . We find evidence consumers learning price shop two years high-deductible coverage . Consumers reduce quantities across spectrum health care services , including potentially valuable care ( e.g . , preventive services ) potentially wasteful care ( e.g . , imaging services ) . To better understand changes , study consumers respond complex structure high-deductible contract . Consumers respond heavily spot prices time care , reducing spending 42 % deductible , conditional true expected end-of-year price prior year end-of-year marginal price . There evidence learning respond true shadow price second year post-switch .",1
15,"We examine health plan choices 23,894 employees U.S. firm made large menu options differed financial cost-sharing premium . These decisions provide clear test predictions standard economic model insurance choice absence choice frictions plans priced nearly every plan lower deductible financially dominated otherwise identical plan high deductible . We document majority employees chose dominated plans , resulted excess spending equivalent 24 % chosen plan premiums . Low-income employees significantly likely choose dominated plans , employees switch financially efficient plans subsequent year . We show choice dominated plans rationalized standard risk preference expectations health risk . Testing alternative explanations series hypothetical-choice experiments , find popularity dominated plans primarily driven size complexity plan menu , informed preferences avoiding high deductibles , employees? lack understanding health insurance . Our findings challenge standard practice inferring risk preferences insurance choices raise doubts welfare benefits health reforms expand consumer choice .",1
16,"Using U.S. data 1929 2015 , show elevated credit-market sentiment year ? 2 associated decline economic activity years + 1 . Underlying result existence predictable mean reversion credit-market conditions . When credit risk aggressively priced , spreads subsequently widen . The timing widening , turn , closely tied onset contraction economic activity . Exploring mechanism , find buoyant credit-market sentiment year ? 2 also forecasts change composition external finance : net debt issuance falls year , net equity issuance increases , consistent reversal credit-market conditions leading inward shift credit supply . Unlike much current literature role financial frictions macroeconomics , article suggests investor sentiment credit markets important driver economic fluctuations .",1
17,"We study effects credit crunch consumer spending heterogeneous-agent incomplete-market model . After unexpected permanent tightening consumers? borrowing capacity , constrained consumers forced repay debt , unconstrained consumers increase precautionary savings . This depresses interest rates , especially short run , generates output drop , even flexible prices . The output drop larger sticky prices , zero lower bound prevents interest rate adjusting downward . Adding durable goods model , households take larger debt positions output response larger .",1
18,"This study investigates banks design financial products cater yield-seeking investors . We focus large market investment products targeted exclusively households : retail structured products . These products typically offer high return best-case scenario?the headline rate?that nested complex payoff formula . Using text analysis payoff formulas 55,000 products issued Europe 2002 2010 , measure product headline rates , complexity , risk . Over period , product headline rates depart prevailing interest rates latter decrease , complexity increases , risky products become common . In cross section , headline rate product positively correlated level complexity risk . Higher headline rate , complex , riskier products appear profitable banks distributing . Our results suggest financial complexity by-product banks catering yield-seeking investors .",1
